species,00010_Glycolysis / Gluconeogenesis,00020_Citrate cycle (TCA cycle),00030_Pentose phosphate pathway,00040_Pentose and glucuronate interconversions,00051_Fructose and mannose metabolism,00052_Galactose metabolism,00053_Ascorbate and aldarate metabolism,00061_Fatty acid biosynthesis,00071_Fatty acid degradation,00074_Mycolic acid biosynthesis,00121_Secondary bile acid biosynthesis,00130_Ubiquinone and other terpenoid-quinone biosynthesis,00190_Oxidative phosphorylation,00220_Arginine biosynthesis,00230_Purine metabolism,00240_Pyrimidine metabolism,"00250_Alanine, aspartate and glutamate metabolism","00260_Glycine, serine and threonine metabolism",00261_Monobactam biosynthesis,00270_Cysteine and methionine metabolism,"00280_Valine, leucine and isoleucine degradation","00290_Valine, leucine and isoleucine biosynthesis",00300_Lysine biosynthesis,00310_Lysine degradation,00311_Penicillin and cephalosporin biosynthesis,00330_Arginine and proline metabolism,00332_Carbapenem biosynthesis,00340_Histidine metabolism,00350_Tyrosine metabolism,00360_Phenylalanine metabolism,00361_Chlorocyclohexane and chlorobenzene degradation,00362_Benzoate degradation,00364_Fluorobenzoate degradation,00380_Tryptophan metabolism,"00400_Phenylalanine, tyrosine and tryptophan biosynthesis",00401_Novobiocin biosynthesis,00410_beta-Alanine metabolism,00430_Taurine and hypotaurine metabolism,00440_Phosphonate and phosphinate metabolism,00450_Selenocompound metabolism,00460_Cyanoamino acid metabolism,00470_D-Amino acid metabolism,00480_Glutathione metabolism,00500_Starch and sucrose metabolism,00511_Other glycan degradation,00520_Amino sugar and nucleotide sugar metabolism,00521_Streptomycin biosynthesis,00523_Polyketide sugar unit biosynthesis,"00524_Neomycin, kanamycin and gentamicin biosynthesis",00525_Acarbose and validamycin biosynthesis,00540_Lipopolysaccharide biosynthesis,00541_Biosynthesis of various nucleotide sugars,00542_O-Antigen repeat unit biosynthesis,00543_Exopolysaccharide biosynthesis,00550_Peptidoglycan biosynthesis,00552_Teichoic acid biosynthesis,00561_Glycerolipid metabolism,00562_Inositol phosphate metabolism,00564_Glycerophospholipid metabolism,00565_Ether lipid metabolism,00566_Sulfoquinovose metabolism,00572_Arabinogalactan biosynthesis,00592_alpha-Linolenic acid metabolism,00600_Sphingolipid metabolism,00620_Pyruvate metabolism,00622_Xylene degradation,00623_Toluene degradation,00625_Chloroalkane and chloroalkene degradation,00626_Naphthalene degradation,00627_Aminobenzoate degradation,00630_Glyoxylate and dicarboxylate metabolism,00633_Nitrotoluene degradation,00640_Propanoate metabolism,00643_Styrene degradation,00650_Butanoate metabolism,00660_C5-Branched dibasic acid metabolism,00670_One carbon pool by folate,00680_Methane metabolism,00710_Carbon fixation by Calvin cycle,00720_Other carbon fixation pathways,00730_Thiamine metabolism,00740_Riboflavin metabolism,00750_Vitamin B6 metabolism,00760_Nicotinate and nicotinamide metabolism,00770_Pantothenate and CoA biosynthesis,00780_Biotin metabolism,00785_Lipoic acid metabolism,00790_Folate biosynthesis,00791_Atrazine degradation,00860_Porphyrin metabolism,00900_Terpenoid backbone biosynthesis,00906_Carotenoid biosynthesis,00910_Nitrogen metabolism,00920_Sulfur metabolism,00946_Degradation of flavonoids,00970_Aminoacyl-tRNA biosynthesis,00998_Biosynthesis of various antibiotics,00999_Biosynthesis of various plant secondary metabolites,01053_Biosynthesis of siderophore group nonribosomal peptides,01054_Nonribosomal peptide structures,01055_Biosynthesis of vancomycin group antibiotics,01100_Metabolic pathways,01110_Biosynthesis of secondary metabolites,01120_Microbial metabolism in diverse environments,01200_Carbon metabolism,01210_2-Oxocarboxylic acid metabolism,01212_Fatty acid metabolism,01220_Degradation of aromatic compounds,01230_Biosynthesis of amino acids,01232_Nucleotide metabolism,01240_Biosynthesis of cofactors,01250_Biosynthesis of nucleotide sugars,01310_Nitrogen cycle,01320_Sulfur cycle,01501_beta-Lactam resistance,01502_Vancomycin resistance,01503_Cationic antimicrobial peptide (CAMP) resistance,02010_ABC transporters,02020_Two-component system,02024_Quorum sensing,02030_Bacterial chemotaxis,02040_Flagellar assembly,02060_Phosphotransferase system (PTS),03008_Ribosome biogenesis in eukaryotes,03010_Ribosome,03018_RNA degradation,03020_RNA polymerase,03030_DNA replication,03060_Protein export,03070_Bacterial secretion system,03250_Viral life cycle,03410_Base excision repair,03420_Nucleotide excision repair,03430_Mismatch repair,03440_Homologous recombination,03450_Non-homologous end-joining,04122_Sulfur relay system,04141_Protein processing in endoplasmic reticulum,04142_Lysosome,04146_Peroxisome,04382_Cornified envelope formation,04980_Cobalamin transport and metabolism,04981_Folate transport and metabolism,05100_Bacterial invasion of epithelial cells
PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJ,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
DL,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0
CG,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0
BF,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
BO,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
BT,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
BU,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
BV,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
BC,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0
BY,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0
DF,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0
BL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0
BP,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0
BA,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0
